,id,gender,age,angle,width,height,facepart,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,forehead_wrinkle,partname,image_name,label_name,adj_forehead_wrinkle,adj_forehead_wrinkle_2
1,0001,F,55,F,2136,3216,01,469.0,661.0,1638.0,1197.0,3.0,이마,0001_01_F.jpg,0001_01_F_01.json,1.0,1.0
10,0001,F,55,L15,2136,3216,01,369.0,595.0,1540.0,1176.0,3.0,이마,0001_01_L15.jpg,0001_01_L15_01.json,1.0,1.0
19,0001,F,55,L30,2136,3216,01,404.0,561.0,1427.0,1159.0,3.0,이마,0001_01_L30.jpg,0001_01_L30_01.json,1.0,1.0
28,0001,F,55,R15,2136,3216,01,494.0,573.0,1772.0,1131.0,3.0,이마,0001_01_R15.jpg,0001_01_R15_01.json,1.0,1.0
37,0001,F,55,R30,2136,3216,01,744.0,577.0,1755.0,1175.0,3.0,이마,0001_01_R30.jpg,0001_01_R30_01.json,1.0,1.0
46,0002,F,50,F,2136,3216,01,564.0,710.0,1676.0,1246.0,1.0,이마,0002_01_F.jpg,0002_01_F_01.json,0.0,0.0
55,0002,F,50,L15,2136,3216,01,425.0,600.0,1471.0,1175.0,1.0,이마,0002_01_L15.jpg,0002_01_L15_01.json,0.0,0.0
64,0002,F,50,L30,2136,3216,01,445.0,593.0,1426.0,1159.0,1.0,이마,0002_01_L30.jpg,0002_01_L30_01.json,0.0,0.0
73,0002,F,50,R15,2136,3216,01,869.0,619.0,1837.0,1153.0,1.0,이마,0002_01_R15.jpg,0002_01_R15_01.json,0.0,0.0
82,0002,F,50,R30,2136,3216,01,963.0,583.0,1817.0,1145.0,1.0,이마,0002_01_R30.jpg,0002_01_R30_01.json,0.0,0.0
91,0003,F,24,F,2136,3216,01,562.0,687.0,1543.0,1241.0,0.0,이마,0003_01_F.jpg,0003_01_F_01.json,0.0,0.0
100,0003,F,24,L15,2136,3216,01,366.0,668.0,1281.0,1237.0,0.0,이마,0003_01_L15.jpg,0003_01_L15_01.json,0.0,0.0
109,0003,F,24,L30,2136,3216,01,343.0,644.0,1178.0,1230.0,0.0,이마,0003_01_L30.jpg,0003_01_L30_01.json,0.0,0.0
118,0003,F,24,R15,2136,3216,01,732.0,660.0,1745.0,1227.0,0.0,이마,0003_01_R15.jpg,0003_01_R15_01.json,0.0,0.0
127,0003,F,24,R30,2136,3216,01,973.0,641.0,1832.0,1224.0,0.0,이마,0003_01_R30.jpg,0003_01_R30_01.json,0.0,0.0
136,0004,F,47,F,2136,3216,01,524.0,749.0,1499.0,1279.0,1.0,이마,0004_01_F.jpg,0004_01_F_01.json,0.0,0.0
145,0004,F,47,L15,2136,3216,01,379.0,710.0,1312.0,1202.0,1.0,이마,0004_01_L15.jpg,0004_01_L15_01.json,0.0,0.0
154,0004,F,47,L30,2136,3216,01,285.0,738.0,1075.0,1234.0,1.0,이마,0004_01_L30.jpg,0004_01_L30_01.json,0.0,0.0
163,0004,F,47,R15,2136,3216,01,692.0,682.0,1726.0,1213.0,1.0,이마,0004_01_R15.jpg,0004_01_R15_01.json,0.0,0.0
172,0004,F,47,R30,2136,3216,01,855.0,669.0,1747.0,1198.0,1.0,이마,0004_01_R30.jpg,0004_01_R30_01.json,0.0,0.0
181,0006,F,55,F,2136,3216,01,575.0,829.0,1616.0,1380.0,3.0,이마,0006_01_F.jpg,0006_01_F_01.json,1.0,1.0
190,0006,F,55,L15,2136,3216,01,326.0,759.0,1282.0,1274.0,3.0,이마,0006_01_L15.jpg,0006_01_L15_01.json,1.0,1.0
199,0006,F,55,L30,2136,3216,01,405.0,721.0,1226.0,1278.0,3.0,이마,0006_01_L30.jpg,0006_01_L30_01.json,1.0,1.0
208,0006,F,55,R15,2136,3216,01,728.0,687.0,1741.0,1251.0,3.0,이마,0006_01_R15.jpg,0006_01_R15_01.json,1.0,1.0
217,0006,F,55,R30,2136,3216,01,839.0,693.0,1788.0,1306.0,3.0,이마,0006_01_R30.jpg,0006_01_R30_01.json,1.0,1.0
226,0007,F,52,F,2136,3216,01,544.0,736.0,1630.0,1293.0,3.0,이마,0007_01_F.jpg,0007_01_F_01.json,1.0,1.0
235,0007,F,52,L15,2136,3216,01,366.0,628.0,1337.0,1125.0,3.0,이마,0007_01_L15.jpg,0007_01_L15_01.json,1.0,1.0
244,0007,F,52,L30,2136,3216,01,517.0,603.0,1391.0,1124.0,3.0,이마,0007_01_L30.jpg,0007_01_L30_01.json,1.0,1.0
253,0007,F,52,R15,2136,3216,01,715.0,595.0,1745.0,1126.0,3.0,이마,0007_01_R15.jpg,0007_01_R15_01.json,1.0,1.0
262,0007,F,52,R30,2136,3216,01,859.0,556.0,1730.0,1139.0,3.0,이마,0007_01_R30.jpg,0007_01_R30_01.json,1.0,1.0
271,0008,F,40,F,2136,3216,01,522.0,786.0,1589.0,1354.0,1.0,이마,0008_01_F.jpg,0008_01_F_01.json,0.0,0.0
280,0008,F,40,L15,2136,3216,01,397.0,680.0,1333.0,1237.0,1.0,이마,0008_01_L15.jpg,0008_01_L15_01.json,0.0,0.0
289,0008,F,40,L30,2136,3216,01,378.0,728.0,1214.0,1275.0,1.0,이마,0008_01_L30.jpg,0008_01_L30_01.json,0.0,0.0
298,0008,F,40,R15,2136,3216,01,813.0,660.0,1793.0,1215.0,1.0,이마,0008_01_R15.jpg,0008_01_R15_01.json,0.0,0.0
307,0008,F,40,R30,2136,3216,01,980.0,635.0,1836.0,1268.0,1.0,이마,0008_01_R30.jpg,0008_01_R30_01.json,0.0,0.0
316,0009,F,53,F,2136,3216,01,586.0,771.0,1540.0,1282.0,2.0,이마,0009_01_F.jpg,0009_01_F_01.json,0.0,1.0
325,0009,F,53,L15,2136,3216,01,372.0,739.0,1296.0,1240.0,2.0,이마,0009_01_L15.jpg,0009_01_L15_01.json,0.0,1.0
334,0009,F,53,L30,2136,3216,01,377.0,727.0,1216.0,1229.0,2.0,이마,0009_01_L30.jpg,0009_01_L30_01.json,0.0,1.0
343,0009,F,53,R15,2136,3216,01,674.0,746.0,1752.0,1239.0,2.0,이마,0009_01_R15.jpg,0009_01_R15_01.json,0.0,1.0
352,0009,F,53,R30,2136,3216,01,897.0,726.0,1848.0,1245.0,2.0,이마,0009_01_R30.jpg,0009_01_R30_01.json,0.0,1.0
361,0010,F,59,F,2136,3216,01,552.0,640.0,1592.0,1190.0,2.0,이마,0010_01_F.jpg,0010_01_F_01.json,0.0,1.0
370,0010,F,59,L15,2136,3216,01,448.0,697.0,1387.0,1242.0,2.0,이마,0010_01_L15.jpg,0010_01_L15_01.json,0.0,1.0
379,0010,F,59,L30,2136,3216,01,460.0,689.0,1296.0,1236.0,2.0,이마,0010_01_L30.jpg,0010_01_L30_01.json,0.0,1.0
388,0010,F,59,R15,2136,3216,01,712.0,679.0,1692.0,1234.0,2.0,이마,0010_01_R15.jpg,0010_01_R15_01.json,0.0,1.0
397,0010,F,59,R30,2136,3216,01,822.0,712.0,1732.0,1244.0,2.0,이마,0010_01_R30.jpg,0010_01_R30_01.json,0.0,1.0
406,0011,F,46,F,2136,3216,01,514.0,645.0,1480.0,1171.0,2.0,이마,0011_01_F.jpg,0011_01_F_01.json,0.0,1.0
415,0011,F,46,L15,2136,3216,01,383.0,676.0,1105.0,1090.0,2.0,이마,0011_01_L15.jpg,0011_01_L15_01.json,0.0,1.0
424,0011,F,46,L30,2136,3216,01,353.0,682.0,1058.0,1066.0,2.0,이마,0011_01_L30.jpg,0011_01_L30_01.json,0.0,1.0
433,0011,F,46,R15,2136,3216,01,716.0,733.0,1711.0,1175.0,2.0,이마,0011_01_R15.jpg,0011_01_R15_01.json,0.0,1.0
442,0011,F,46,R30,2136,3216,01,807.0,710.0,1740.0,1120.0,2.0,이마,0011_01_R30.jpg,0011_01_R30_01.json,0.0,1.0
451,0012,F,53,F,2136,3216,01,546.0,658.0,1562.0,1161.0,2.0,이마,0012_01_F.jpg,0012_01_F_01.json,0.0,1.0
460,0012,F,53,L15,2136,3216,01,437.0,626.0,1370.0,1109.0,2.0,이마,0012_01_L15.jpg,0012_01_L15_01.json,0.0,1.0
469,0012,F,53,L30,2136,3216,01,415.0,611.0,1246.0,1113.0,2.0,이마,0012_01_L30.jpg,0012_01_L30_01.json,0.0,1.0
478,0012,F,53,R15,2136,3216,01,846.0,619.0,1793.0,1105.0,2.0,이마,0012_01_R15.jpg,0012_01_R15_01.json,0.0,1.0
487,0012,F,53,R30,2136,3216,01,966.0,578.0,1786.0,1113.0,2.0,이마,0012_01_R30.jpg,0012_01_R30_01.json,0.0,1.0
496,0013,F,47,F,2136,3216,01,673.0,752.0,1528.0,1147.0,1.0,이마,0013_01_F.jpg,0013_01_F_01.json,0.0,0.0
505,0013,F,47,L15,2136,3216,01,390.0,628.0,1248.0,970.0,1.0,이마,0013_01_L15.jpg,0013_01_L15_01.json,0.0,0.0
514,0013,F,47,L30,2136,3216,01,326.0,728.0,1278.0,971.0,1.0,이마,0013_01_L30.jpg,0013_01_L30_01.json,0.0,0.0
523,0013,F,47,R15,2136,3216,01,812.0,692.0,1804.0,1042.0,1.0,이마,0013_01_R15.jpg,0013_01_R15_01.json,0.0,0.0
532,0013,F,47,R30,2136,3216,01,918.0,685.0,1846.0,1009.0,1.0,이마,0013_01_R30.jpg,0013_01_R30_01.json,0.0,0.0
541,0014,F,46,F,2136,3216,01,617.0,879.0,1601.0,1286.0,2.0,이마,0014_01_F.jpg,0014_01_F_01.json,0.0,1.0
550,0014,F,46,L15,2136,3216,01,383.0,827.0,1227.0,1205.0,2.0,이마,0014_01_L15.jpg,0014_01_L15_01.json,0.0,1.0
559,0014,F,46,L30,2136,3216,01,255.0,868.0,1073.0,1206.0,2.0,이마,0014_01_L30.jpg,0014_01_L30_01.json,0.0,1.0
568,0014,F,46,R15,2136,3216,01,831.0,847.0,1817.0,1205.0,2.0,이마,0014_01_R15.jpg,0014_01_R15_01.json,0.0,1.0
577,0014,F,46,R30,2136,3216,01,977.0,845.0,1898.0,1207.0,2.0,이마,0014_01_R30.jpg,0014_01_R30_01.json,0.0,1.0
586,0016,F,48,F,2136,3216,01,560.0,628.0,1460.0,1214.0,3.0,이마,0016_01_F.jpg,0016_01_F_01.json,1.0,1.0
595,0016,F,48,L15,2136,3216,01,405.0,734.0,1367.0,1272.0,3.0,이마,0016_01_L15.jpg,0016_01_L15_01.json,1.0,1.0
604,0016,F,48,L30,2136,3216,01,382.0,816.0,1331.0,1256.0,3.0,이마,0016_01_L30.jpg,0016_01_L30_01.json,1.0,1.0
613,0016,F,48,R15,2136,3216,01,680.0,712.0,1731.0,1300.0,3.0,이마,0016_01_R15.jpg,0016_01_R15_01.json,1.0,1.0
622,0016,F,48,R30,2136,3216,01,768.0,698.0,1749.0,1266.0,3.0,이마,0016_01_R30.jpg,0016_01_R30_01.json,1.0,1.0
631,0017,F,42,F,2136,3216,01,551.0,749.0,1526.0,1233.0,1.0,이마,0017_01_F.jpg,0017_01_F_01.json,0.0,0.0
640,0017,F,42,L15,2136,3216,01,267.0,735.0,1190.0,1181.0,1.0,이마,0017_01_L15.jpg,0017_01_L15_01.json,0.0,0.0
649,0017,F,42,L30,2136,3216,01,254.0,740.0,1111.0,1189.0,1.0,이마,0017_01_L30.jpg,0017_01_L30_01.json,0.0,0.0
658,0017,F,42,R15,2136,3216,01,811.0,692.0,1756.0,1199.0,1.0,이마,0017_01_R15.jpg,0017_01_R15_01.json,0.0,0.0
667,0017,F,42,R30,2136,3216,01,958.0,682.0,1874.0,1212.0,1.0,이마,0017_01_R30.jpg,0017_01_R30_01.json,0.0,0.0
676,0018,F,47,F,2136,3216,01,475.0,650.0,1598.0,1200.0,3.0,이마,0018_01_F.jpg,0018_01_F_01.json,1.0,1.0
685,0018,F,47,L15,2136,3216,01,282.0,642.0,1408.0,1159.0,3.0,이마,0018_01_L15.jpg,0018_01_L15_01.json,1.0,1.0
694,0018,F,47,L30,2136,3216,01,296.0,669.0,1243.0,1159.0,3.0,이마,0018_01_L30.jpg,0018_01_L30_01.json,1.0,1.0
703,0018,F,47,R15,2136,3216,01,626.0,627.0,1722.0,1218.0,3.0,이마,0018_01_R15.jpg,0018_01_R15_01.json,1.0,1.0
712,0018,F,47,R30,2136,3216,01,687.0,627.0,1761.0,1210.0,3.0,이마,0018_01_R30.jpg,0018_01_R30_01.json,1.0,1.0
